system,davidson_iteration,state_rule,state_index,corrected_epsilon,residual_norm,rho_deflated,lambda_min_deflated,damping_factor,cg_status,cg_iters,n_subspace,X_orthonormality_error,krylov_dim,commit
C60_4,10,lowest,0,-1.0821000717283642,0.0010067863298406539,1.07326939567198,-1.07326939567198,0.03663469783599005,converged,46,576,8.523509307996153e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,15,lowest,0,-1.082100031123945,2.8213580123678796e-05,1.0732694683839152,-1.0732694683839152,0.03663473419195762,converged,45,576,9.972982727190759e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,5,middle,240,-0.6153931744829024,0.29960082370499724,0.9210127906279005,-0.9001300586012482,0.049934970699375913,converged,46,576,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,10,middle,240,-0.6145079143915021,0.004496291347930542,0.9209979832110081,-0.8998231286137605,0.05008843569311977,converged,45,576,8.523509307996153e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,15,middle,240,-0.6145071539261712,0.00012029607849956201,0.9209980212931275,-0.8998229108903152,0.05008854455484241,converged,44,576,9.972982727190759e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,10,slowest,571,-0.10081385508931855,0.14935022498950032,1.0191353353471295,-0.7258889131728683,0.13705554341356585,"negative_curvature(it=7, pAp=-2.286e-04)",7,576,8.523509307996153e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
C60_4,15,slowest,569,-0.12989663544925517,0.07740315505172954,0.9958755401686799,-0.73529884023997,0.13235057988001497,max_iter,200,576,9.972982727190759e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,5,homo,639,0.08812447595346028,0.5004034149565088,1.021140942838507,-0.2805570322314752,0.3597214838842624,"negative_curvature(it=4, pAp=-5.356e-02)",4,768,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,10,homo,639,-0.012676732622093434,0.005332612715532703,0.9298195616085504,-0.30413726877235325,0.3479313656138234,converged,39,768,9.717937006048071e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,15,homo,639,-0.012684512482356039,0.0001316153532005363,0.9260787950562984,-0.3041397167847109,0.34793014160764457,converged,38,768,1.1858010640032265e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,5,lowest,0,-0.8233364841361873,0.036467856874720386,0.8072532245511318,-0.4994001597281272,0.2502999201359364,converged,25,768,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,10,lowest,0,-0.823306658837575,6.727788566011286e-06,0.8072371004218711,-0.4994609968429504,0.2502695015785248,converged,24,768,9.717937006048071e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,15,lowest,0,-0.823306658836099,3.6941707250293754e-09,0.8072361709144826,-0.4994646030912921,0.2502676984543539,converged,24,768,1.1858010640032265e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,5,middle,320,-0.2726749458394073,0.2464244979902475,0.8583939477403543,-0.3655760812602633,0.31721195936986835,converged,28,768,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,10,middle,320,-0.28667884292176127,4.285970405158255e-05,0.8486260148136783,-0.36895470163352045,0.3155226491832398,converged,27,768,9.717937006048071e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,15,middle,320,-0.28667884312219527,7.029863486449686e-08,0.8458247306970066,-0.36895601353494617,0.31552199323252694,converged,26,768,1.1858010640032265e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,5,slowest,636,0.0666575684623904,0.5358311413662872,1.009946981143075,-0.28556123107393705,0.3572193844630315,"negative_curvature(it=15, pAp=-1.054e+01)",15,768,4.884981308350689e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,10,slowest,735,0.15781769321803732,0.10804257246034552,1.0062248991377263,-0.26439205511066277,0.3678039724446686,"negative_curvature(it=12, pAp=-8.343e-03)",12,768,9.717937006048071e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
MAPbI3,15,slowest,736,0.14932042015448313,0.062448003682243416,0.9948508157842957,-0.2663619796010265,0.36681901019948676,converged,143,768,1.1858010640032265e-14,40,765711d0afc1561e55721eddca68a37cbbeeb54f
water_cluster_128,5,homo,511,-0.15652706929805893,0.5618183802899243,0.9903432895579805,-0.741529835328609,0.12923508233569547,"negative_curvature(it=5, pAp=-3.781e-02)",5,614,6.217248937900877e-15,40,765711d0afc1561e55721eddca68a37cbbeeb54f
