system,state_rule,state_index,active_index,davidson_iteration,preconditioner_call,residual_norm,raw_epsilon,corrected_epsilon,zero_shift_fallback,krylov_dim,seed,rho,lambda_min,lambda_max,dominant_is_negative,damping_factor_lambda_min,ritz_residual_rho,ritz_residual_lambda_min,numerically_real,commit,dtype,device
C60_4.xyz,lowest,0,0,5,3,0.0760173991382476,-1.081795167482817,-1.0823730319799914,False,40,0,1.0733750103879147,-1.0733750103879147,0.9996861725483778,True,0.03668750519395736,0.00024214843338915733,0.00024214843338915733,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
C60_4.xyz,lowest,0,0,5,3,0.0760173991382476,-1.081795167482817,-1.0823730319799914,False,60,0,1.0733752658689093,-1.0733752658689093,0.9997005808983238,True,0.03668763293445465,0.00015395499253553424,0.00015395499253553424,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
C60_4.xyz,middle,240,240,5,3,0.29960082370499724,-0.6064171091264311,-0.6153931744829024,False,40,0,1.3702836955938402,-0.9001375834813208,1.3702836955938402,False,0.04993120825933961,0.00018225023858577303,0.00025647638188821913,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
C60_4.xyz,middle,240,240,5,3,0.29960082370499724,-0.6064171091264311,-0.6153931744829024,False,60,0,1.3703498792452875,-0.9001376556908534,1.3703498792452875,False,0.04993117215457332,0.003262409745755962,0.00011352710322976709,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
C60_4.xyz,homo,479,479,5,3,0.4789436078410343,-0.29609195601531957,-0.3190306539644982,False,40,0,1.6101393667164163,-0.7977515919655088,1.6101393667164163,False,0.10112420401724559,0.00037220334435344153,0.0002705046665928754,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
C60_4.xyz,homo,479,479,5,3,0.4789436078410343,-0.29609195601531957,-0.3190306539644982,False,60,0,1.6102456170239088,-0.7977514743394146,1.6102456170239088,False,0.10112426283029269,0.0010080831438835718,9.344954062298436e-05,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,lowest,0,0,5,3,0.036467856874720386,-0.8232034936776839,-0.8233364841361873,False,40,0,0.9999473818714322,-0.4994916051968565,0.9999473818714322,False,0.25025419740157173,0.00037383863416787943,0.0017478492710945256,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,lowest,0,0,5,3,0.036467856874720386,-0.8232034936776839,-0.8233364841361873,False,60,0,0.999981363444899,-0.4995322850989134,0.999981363444899,False,0.2502338574505433,0.0006228554866440601,0.0013689205682457248,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,middle,320,320,5,3,0.2464244979902475,-0.2666024425184328,-0.2726749458394073,False,40,0,1.278686426482618,-0.3655592600046468,1.278686426482618,False,0.3172203699976766,0.00033312178900582966,0.0027209116163128253,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,middle,320,320,5,3,0.2464244979902475,-0.2666024425184328,-0.2726749458394073,False,60,0,1.2786938764656954,-0.3656273781593993,1.2786938764656954,False,0.31718631092030036,5.460953615108131e-05,0.0005550910486167128,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,homo,639,639,5,3,0.5004034149565088,0.11316483372347387,0.08812447595346028,False,40,0,1.4645995292467548,-0.2805109149109527,1.4645995292467548,False,0.35974454254452365,0.0003374063352191448,0.0005940459669818926,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,homo,639,639,5,3,0.5004034149565088,0.11316483372347387,0.08812447595346028,False,60,0,1.4646122843631904,-0.280592940421698,1.4646122843631904,False,0.359703529789151,0.0002490758908240326,0.0001781920915646683,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,slowest,636,636,5,3,0.5358311413662872,0.0953690696681802,0.0666575684623904,False,40,0,1.4534867855226894,-0.28551326210067945,1.4534867855226894,False,0.35724336894966024,0.00033335344080341655,0.0006493294378632212,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
MAPbI3.cif,slowest,636,636,5,3,0.5358311413662872,0.0953690696681802,0.0666575684623904,False,60,0,1.4534987268046007,-0.2855951791256571,1.4534987268046007,False,0.3572024104371715,0.00022687258973418475,0.0001602931398725084,True,765711d0afc1561e55721eddca68a37cbbeeb54f,torch.float64,cpu
